Name,Qty
Açaí,0
Akee,0
Apple,0
Apricot,0
Avocado,0
Banana,0
Bilberry,0
Blackberry,0
Blackcurrant,0
Black sapote,0
Blueberry,0
Boysenberry,0
Crab apples,0
Currant,0
Cherry,0
Cherimoya,0
Chico fruit,0
Cloudberry,0
Coconut,0
Cranberry,0
Cucumber,0
Damson,0
Date,0
Dragonfruit,0
Durian,0
Elderberry,0
Feijoa,0
Fig,0
Goji berry,0
Gooseberry,0
Grape,0
Raisin,0
Grapefruit,0
Guava,0
Honeyberry,0
Huckleberry,0
Jabuticaba,0
Jackfruit,0
Jambul,0
Japanese plum,0
Jostaberry,0
Jujube,0
Juniper berry,0
Kiwano,0
Kiwifruit,0
Kumquat,0
Lemon,0
Lime,0
Loganberry,0
Loquat,0
Longan,0
Lychee,0
Mango,0
Mangosteen,0
Marionberry,0
Melon,0
Cantaloupe,0
Honeydew,0
Watermelon,0
Miracle fruit,0
Mulberry,0
Nectarine,0
Nance,0
Orange,0
Blood orange,0
Clementine,0
Mandarine,0
Tangerine,0
Papaya,0
Passionfruit,0
Peach,0
Pear,0
Asian pear,0
Persimmon,0
Plantain,0
Plum,0
Prune,0
Pineapple,0
Pineberry,0
Plumcot,0
Pomegranate,0
Pomelo,0
Purple mangosteen,0
Quince,0
Raspberry,0
Salmonberry,0
Rambutan,0
Redcurrant,0
Salal berry,0
Salak,0
Satsuma,0
Soursop,0
Star apple,0
Star fruit,0
Strawberry,0
Surinam cherry,0
Taco,0
Tamarillo,0
Tamarind,0
Tayberry,0
Ugli fruit,0
White currant,0
White sapote,0
Yuzu,0
